Team,Year,Sport,Bronze,Gold,No medal,Silver
30. Februar,1952,Sailing,0,0,2,0
A North American Team,1900,Polo,4,0,0,0
AIN,2024,Canoe Sprint,0,0,6,0
AIN,2024,Cycling Road,0,0,7,0
AIN,2024,Rowing,0,0,1,1
AIN,2024,Shooting,0,0,2,0
AIN,2024,Swimming,0,0,7,0
AIN,2024,Taekwondo,0,0,1,0
AIN,2024,Tennis,0,0,12,2
AIN,2024,Trampoline Gymnastics,0,1,1,1
AIN,2024,Weightlifting,1,0,1,0
AIN,2024,Wrestling,0,0,2,0
Acipactli,1964,Sailing,0,0,3,0
Acturus,1948,Sailing,0,0,2,0
Afghanistan,1936,Athletics,0,0,3,0
Afghanistan,1936,Hockey,0,0,13,0
Afghanistan,1948,Football,0,0,11,0
Afghanistan,1948,Hockey,0,0,14,0
Afghanistan,1956,Hockey,0,0,12,0
Afghanistan,1960,Athletics,0,0,9,0
Afghanistan,1960,Wrestling,0,0,7,0
Afghanistan,1964,Wrestling,0,0,8,0
Afghanistan,1968,Wrestling,0,0,5,0
Afghanistan,1972,Wrestling,0,0,8,0
Afghanistan,1980,Boxing,0,0,3,0
Afghanistan,1980,Wrestling,0,0,8,0
Afghanistan,1988,Wrestling,0,0,5,0
Afghanistan,1996,Athletics,0,0,2,0
Afghanistan,2004,Athletics,0,0,2,0
Afghanistan,2004,Boxing,0,0,1,0
Afghanistan,2004,Judo,0,0,1,0
Afghanistan,2004,Wrestling,0,0,1,0
Afghanistan,2008,Athletics,0,0,2,0
Afghanistan,2008,Taekwondo,1,0,1,0
Afghanistan,2012,Athletics,0,0,2,0
Afghanistan,2012,Boxing,0,0,1,0
Afghanistan,2012,Judo,0,0,1,0
Afghanistan,2012,Taekwondo,1,0,1,0
Afghanistan,2016,Athletics,0,0,2,0
Afghanistan,2016,Judo,0,0,1,0
Afghanistan,2020,Athletics,0,0,2,0
Afghanistan,2020,Shooting,0,0,1,0
Afghanistan,2020,Swimming,0,0,1,0
Afghanistan,2020,Taekwondo,0,0,1,0
Afghanistan,2024,Athletics,0,0,2,0
Afghanistan,2024,Cycling Road,0,0,3,0
Afghanistan,2024,Judo,0,0,1,0
Afghanistan,2024,Swimming,0,0,1,0
Akatonbo,1964,Sailing,0,0,3,0
Alain IV,1964,Sailing,0,0,3,0
Albania,1972,Shooting,0,0,4,0
Albania,1972,Weightlifting,0,0,1,0
Albania,1992,Athletics,0,0,1,0
Albania,1992,Shooting,0,0,2,0
Albania,1992,Swimming,0,0,3,0
Albania,1992,Weightlifting,0,0,3,0
Albania,1996,Athletics,0,0,2,0
Albania,1996,Cycling,0,0,1,0
Albania,1996,Shooting,0,0,4,0
Albania,1996,Weightlifting,0,0,1,0
Albania,1996,Wrestling,0,0,1,0
Albania,2000,Athletics,0,0,2,0
Albania,2000,Shooting,0,0,2,0
Albania,2000,Weightlifting,0,0,1,0
Albania,2004,Athletics,0,0,2,0
Albania,2004,Swimming,0,0,2,0
