Name,Sex,Team,NOC,Year,City,Sport,Event,Medal
Esteve Montaa,M,Andorra,AND,1976,Montreal,Shooting,Shooting Mixed Trap,No medal
Joan Delneufcourt,M,Andorra,AND,1976,Montreal,Boxing,Boxing Men's Light-Heavyweight,No medal
Joan Roca,M,Andorra,AND,1976,Montreal,Shooting,Shooting Mixed Trap,No medal
Francesco Fris,M,Andorra,AND,1980,Moskva,Shooting,Shooting Mixed Trap,No medal
Joan Roca,M,Andorra,AND,1980,Moskva,Shooting,Shooting Mixed Trap,No medal
Francesco Fris,M,Andorra,AND,1984,Los Angeles,Shooting,Shooting Mixed Trap,No medal
Joan Roca,M,Andorra,AND,1984,Los Angeles,Shooting,Shooting Mixed Trap,No medal
Josep Esquius,M,Andorra,AND,1988,Seoul,Athletics,Athletics Men's 800 metres,No medal
Josep Esquius,M,Andorra,AND,1988,Seoul,Athletics,"Athletics Men's 1,500 metres",No medal
Emili Font,M,Andorra,AND,1988,Seoul,Cycling,"Cycling Men's Road Race, Individual",No medal
Xavier Font,M,Andorra,AND,1988,Seoul,Cycling,"Cycling Men's Road Race, Individual",No medal
Joan Lluelles,M,Andorra,AND,1992,Barcelona,Shooting,Shooting Mixed Trap,No medal
Juan Fuentes,M,Andorra,AND,1992,Barcelona,Cycling,"Cycling Men's Road Race, Individual",No medal
Antoni Oviedo,M,Andorra,AND,1992,Barcelona,Judo,Judo Men's Extra-Lightweight,No medal
Margarida Snchez,F,Andorra,AND,1992,Barcelona,Athletics,Athletics Women's High Jump,No medal
Emili Font,M,Andorra,AND,1992,Barcelona,Cycling,"Cycling Men's Road Race, Individual",No medal
Xavier Font,M,Andorra,AND,1992,Barcelona,Cycling,"Cycling Men's Road Race, Individual",No medal
David Borra,M,Andorra,AND,1992,Barcelona,Sailing,Sailing Men's Two Person Dinghy,No medal
Oscar Borra,M,Andorra,AND,1992,Barcelona,Sailing,Sailing Men's Two Person Dinghy,No medal
Gerard Duedra,M,Andorra,AND,1996,Atlanta,Shooting,Shooting Men's Trap,No medal
Antonio Planas,M,Andorra,AND,1996,Atlanta,Athletics,Athletics Men's Marathon,No medal
Antoni Oviedo,M,Andorra,AND,1996,Atlanta,Judo,Judo Men's Half-Lightweight,No medal
Fiona Porta,F,Andorra,AND,1996,Atlanta,Sailing,Sailing Women's Windsurfer,No medal
Joan Marti,M,Andorra,AND,1996,Atlanta,Swimming,Swimming Men's 200 metres Butterfly,No medal
David Borra,M,Andorra,AND,1996,Atlanta,Sailing,Sailing Men's Two Person Dinghy,No medal
Oscar Borra,M,Andorra,AND,1996,Atlanta,Sailing,Sailing Men's Two Person Dinghy,No medal
Meritxell Gonzlez,F,Andorra,AND,1996,Atlanta,Swimming,Swimming Women's 200 metres Individual Medley,No medal
Antonio Planas,M,Andorra,AND,2000,Sydney,Athletics,Athletics Men's Marathon,No medal
Santiago Deu,M,Andorra,AND,2000,Sydney,Swimming,Swimming Men's 200 metres Freestyle,No medal
Silvia Sue,F,Andorra,AND,2000,Sydney,Athletics,"Athletics Women's 1,500 metres",No medal
Meritxell Gonzlez,F,Andorra,AND,2000,Sydney,Swimming,Swimming Women's 200 metres Individual Medley,No medal
Joan Roca,M,Andorra,AND,2000,Sydney,Shooting,Shooting Men's Trap,No medal
Antonio Planas,M,Andorra,AND,2004,Athina,Athletics,Athletics Men's Marathon,No medal
Antoni Cervellera,M,Andorra,AND,2004,Athina,Judo,Judo Men's Middleweight,No medal
Carolina Santacreu,F,Andorra,AND,2004,Athina,Swimming,Swimming Women's 100 metres Freestyle,No medal
Silvia Sue,F,Andorra,AND,2004,Athina,Athletics,"Athletics Women's 1,500 metres",No medal
Hocine Constantin,M,Andorra,AND,2004,Athina,Swimming,Swimming Men's 200 metres Individual Medley,No medal
Francesc Romero,M,Andorra,AND,2004,Athina,Shooting,Shooting Men's Trap,No medal
Antonio Planas,M,Andorra,AND,2008,Beijing,Athletics,Athletics Men's Marathon,No medal
Daniel Gonzlez,M,Andorra,AND,2008,Beijing,Judo,Judo Men's Half-Lightweight,No medal
Montserrat Riberaygua,F,Andorra,AND,2008,Beijing,Canoeing,"Canoeing Women's Kayak Singles, Slalom",No medal
Hocine Constantin,M,Andorra,AND,2008,Beijing,Swimming,Swimming Men's 400 metres Individual Medley,No medal
Montserrat Joval,F,Andorra,AND,2008,Beijing,Athletics,Athletics Women's 100 metres,No medal
Antonio Planas,M,Andorra,AND,2012,London,Athletics,Athletics Men's Marathon,No medal
Daniel Gonzlez,M,Andorra,AND,2012,London,Judo,Judo Men's Half-Lightweight,No medal
Hocine Constantin,M,Andorra,AND,2012,London,Swimming,Swimming Men's 200 metres Butterfly,No medal
Cristina Rossell,F,Andorra,AND,2012,London,Athletics,Athletics Women's 100 metres,No medal
Mnica Abella,F,Andorra,AND,2012,London,Swimming,Swimming Women's 100 metres Backstroke,No medal
Joan Roca,M,Andorra,AND,2012,London,Shooting,Shooting Men's Trap,No medal
Pol Dourdet,M,Andorra,AND,2016,Rio de Janeiro,Swimming,Swimming Men's 400 metres Freestyle,No medal
Esther Alvina,F,Andorra,AND,2016,Rio de Janeiro,Shooting,"Shooting Women's Air Rifle, 10 metres",No medal
Pol Betriu,M,Andorra,AND,2016,Rio de Janeiro,Athletics,Athletics Men's 800 metres,No medal
Laura Lpez,F,Andorra,AND,2016,Rio de Janeiro,Judo,Judo Women's Half-Middleweight,No medal
Monica Doria,F,Andorra,AND,2020,Tokyo,Canoe Slalom,Women's Kayak,No medal
Monica Doria,F,Andorra,AND,2020,Tokyo,Canoe Slalom,Women's Canoe,No medal
Pol Moya,M,Andorra,AND,2020,Tokyo,Athletics,Men's 800m,No medal
Monica Doria,F,Andorra,AND,2024,Paris,Canoe Slalom,Women's Canoe Single,No medal
Monica Doria,F,Andorra,AND,2024,Paris,Canoe Slalom,Women's Kayak Single,No medal
Monica Doria,F,Andorra,AND,2024,Paris,Canoe Slalom,Women's Kayak Cross,No medal
Nahuel Carabana,M,Andorra,AND,2024,Paris,Athletics,Men's 3000m Steeplechase,No medal
Ablio Cabral,M,Angola,ANG,1980,Moskva,Boxing,Boxing Men's Featherweight,No medal
Alberto Coelho,M,Angola,ANG,1980,Moskva,Boxing,Boxing Men's Lightweight,No medal
Ildio Sirgado,M,Angola,ANG,1980,Moskva,Athletics,Athletics Men's 100 metres,No medal
Marcos Daniel,M,Angola,ANG,1980,Moskva,Swimming,Swimming Men's 100 metres Butterfly,No medal
Marcos Daniel,M,Angola,ANG,1980,Moskva,Swimming,Swimming Men's 4 x 100 metres Medley Relay,No medal
Jos Almeida,M,Angola,ANG,1980,Moskva,Boxing,Boxing Men's Bantamweight,No medal
Rubn Incio,M,Angola,ANG,1980,Moskva,Athletics,Athletics Men's 200 metres,No medal
Jorge Lima,M,Angola,ANG,1980,Moskva,Swimming,Swimming Men's 100 metres Freestyle,No medal
Jorge Lima,M,Angola,ANG,1980,Moskva,Swimming,Swimming Men's 200 metres Freestyle,No medal
Jorge Lima,M,Angola,ANG,1980,Moskva,Swimming,Swimming Men's 100 metres Backstroke,No medal
Jorge Lima,M,Angola,ANG,1980,Moskva,Swimming,Swimming Men's 4 x 100 metres Medley Relay,No medal
Fernando Lopes,M,Angola,ANG,1980,Moskva,Swimming,Swimming Men's 4 x 100 metres Medley Relay,No medal
Francisco Santos,M,Angola,ANG,1980,Moskva,Swimming,Swimming Men's 100 metres Breaststroke,No medal
Francisco Santos,M,Angola,ANG,1980,Moskva,Swimming,Swimming Men's 4 x 100 metres Medley Relay,No medal
Bernardo Manuel,M,Angola,ANG,1980,Moskva,Athletics,"Athletics Men's 5,000 metres",No medal
Michele Pessoa,F,Angola,ANG,1980,Moskva,Swimming,Swimming Women's 100 metres Freestyle,No medal
Michele Pessoa,F,Angola,ANG,1980,Moskva,Swimming,Swimming Women's 100 metres Backstroke,No medal
Abbo Bartolomeu,M,Angola,ANG,1988,Seoul,Judo,Judo Men's Extra-Lightweight,No medal
Ricardo Boy,M,Angola,ANG,1988,Seoul,Judo,Judo Men's Half-Middleweight,No medal
Joo Carvalho,M,Angola,ANG,1988,Seoul,Athletics,Athletics Men's Marathon,No medal
Ndia Cruz,F,Angola,ANG,1988,Seoul,Swimming,Swimming Women's 100 metres Breaststroke,No medal
Guilhermina Cruz,F,Angola,ANG,1988,Seoul,Athletics,Athletics Women's 100 metres,No medal
Guilhermina Cruz,F,Angola,ANG,1988,Seoul,Athletics,Athletics Women's 200 metres,No medal
Helder Carvalho,M,Angola,ANG,1988,Seoul,Judo,Judo Men's Heavyweight,No medal
Apolinrio Silveira,M,Angola,ANG,1988,Seoul,Boxing,Boxing Men's Light-Middleweight,No medal
Antnio Santos,M,Angola,ANG,1988,Seoul,Athletics,Athletics Men's Triple Jump,No medal
Armnio Fernandes,M,Angola,ANG,1988,Seoul,Athletics,Athletics Men's 100 metres,No medal
Armnio Fernandes,M,Angola,ANG,1988,Seoul,Athletics,Athletics Men's 200 metres,No medal
Carla Fernandes,F,Angola,ANG,1988,Seoul,Swimming,Swimming Women's 100 metres Freestyle,No medal
Carla Fernandes,F,Angola,ANG,1988,Seoul,Swimming,Swimming Women's 100 metres Backstroke,No medal
Vivaldo Fernandes,M,Angola,ANG,1988,Seoul,Swimming,Swimming Men's 100 metres Breaststroke,No medal
Luis Fortunato,M,Angola,ANG,1988,Seoul,Judo,Judo Men's Half-Lightweight,No medal
Gaspar Fragata,M,Angola,ANG,1988,Seoul,Swimming,Swimming Men's 100 metres Breaststroke,No medal
Elsa Freire,F,Angola,ANG,1988,Seoul,Swimming,Swimming Women's 50 metres Freestyle,No medal
