NOC,Gold,Silver,Bronze,Total,Year
Australia,2,0,0,2,1896
Australia,2,0,3,5,1900
Australia,0,3,1,4,1904
Australia,0,2,1,3,1920
Australia,3,1,2,6,1924
Australia,1,2,1,4,1928
Australia,3,1,1,5,1932
Australia,0,0,1,1,1936
Australia,2,6,5,13,1948
Australia,6,2,3,11,1952
Australia,13,8,14,35,1956
Australia,8,8,6,22,1960
Australia,6,2,10,18,1964
Australia,5,7,5,17,1968
Australia,8,7,2,17,1972
Australia,0,1,4,5,1976
Australia,2,2,5,9,1980
Australia,4,8,12,24,1984
Australia,3,6,5,14,1988
Australia,7,9,11,27,1992
Australia,9,9,23,41,1996
Australia,16,25,17,58,2000
Australia,17,16,17,50,2004
Australia,14,15,17,46,2008
Australia,8,15,12,35,2012
Australia,8,11,10,29,2016
Australia,17,7,22,46,2020
Australia,18,19,16,53,2024
China,15,8,9,32,1984
China,5,11,12,28,1988
China,16,22,16,54,1992
China,16,22,12,50,1996
China,28,16,14,58,2000
China,32,17,14,63,2004
China,48,22,30,100,2008
China,39,31,22,92,2012
China,26,18,26,70,2016
China,38,32,19,89,2020
China,40,27,24,91,2024
France,5,4,2,11,1896
France,27,39,37,103,1900
France,0,1,0,1,1904
France,5,5,9,19,1908
France,7,4,3,14,1912
France,9,19,13,41,1920
France,13,15,10,38,1924
France,6,10,5,21,1928
France,11,5,4,20,1932
France,7,6,6,19,1936
France,10,6,13,29,1948
France,6,6,6,18,1952
France,4,4,6,14,1956
France,0,2,3,5,1960
France,1,8,6,15,1964
France,7,3,5,15,1968
France,2,4,7,13,1972
France,2,3,4,9,1976
France,6,5,3,14,1980
France,5,7,16,28,1984
France,6,4,6,16,1988
France,8,5,16,29,1992
France,15,7,15,37,1996
France,13,14,11,38,2000
France,11,9,13,33,2004
France,7,16,20,43,2008
France,11,11,13,35,2012
France,10,18,14,42,2016
France,10,12,11,33,2020
France,16,26,22,64,2024
Germany,6,5,2,13,1896
Germany,4,3,2,9,1900
Germany,4,5,6,15,1904
Germany,3,5,5,13,1908
Germany,5,13,7,25,1912
Germany,10,7,14,31,1928
Germany,5,12,7,24,1932
Germany,38,31,32,101,1936
Germany,0,7,17,24,1952
Germany,33,21,28,82,1992
Germany,20,18,27,65,1996
Germany,13,17,26,56,2000
Germany,13,16,20,49,2004
Germany,16,11,14,41,2008
Germany,11,20,13,44,2012
Germany,17,10,15,42,2016
Germany,10,11,16,37,2020
Germany,12,13,8,33,2024
GreatBritain,2,3,2,7,1896
GreatBritain,15,7,9,31,1900
GreatBritain,1,1,0,2,1904
GreatBritain,56,51,39,146,1908
GreatBritain,10,15,16,41,1912
GreatBritain,14,15,13,42,1920
GreatBritain,9,13,12,34,1924
GreatBritain,3,10,7,20,1928
GreatBritain,5,7,5,17,1932
GreatBritain,4,7,3,14,1936
GreatBritain,3,14,6,23,1948
GreatBritain,1,2,8,11,1952
GreatBritain,6,7,11,24,1956
GreatBritain,2,6,12,20,1960
GreatBritain,4,12,2,18,1964
GreatBritain,5,5,3,13,1968
GreatBritain,4,5,9,18,1972
GreatBritain,3,5,5,13,1976
GreatBritain,5,7,9,21,1980
GreatBritain,5,11,21,37,1984
GreatBritain,5,10,9,24,1988
GreatBritain,5,3,12,20,1992
GreatBritain,1,8,6,15,1996
GreatBritain,11,10,7,28,2000
GreatBritain,9,9,12,30,2004
GreatBritain,19,13,19,51,2008
GreatBritain,29,18,18,65,2012
GreatBritain,27,23,17,67,2016
GreatBritain,22,20,22,64,2020
GreatBritain,14,22,29,65,2024
Italy,3,2,0,5,1900
Italy,2,2,0,4,1908
Italy,3,1,2,6,1912
Italy,13,5,5,23,1920
Italy,8,3,5,16,1924
Italy,7,5,7,19,1928
Italy,12,12,12,36,1932
Italy,9,13,5,27,1936
Italy,8,11,8,27,1948
Italy,8,9,4,21,1952
Italy,8,8,9,25,1956
Italy,13,10,13,36,1960
Italy,10,10,7,27,1964
Italy,3,4,9,16,1968
Italy,5,3,10,18,1972
