Rank,NOC,Gold,Silver,Bronze,Total,Year
82,Afghanistan,0,0,1,1,2008
80,Albania,0,0,2,2,2024
42,Algeria,0,0,2,2,1984
16,Argentina,1,3,2,6,1924
45,Armenia,1,1,0,2,1996
11,Australasia,1,2,2,5,1908
8,Australia,2,0,0,2,1896
7,Austria,2,1,2,5,1896
61,Azerbaijan,0,1,0,1,1996
35,Bahamas,0,0,1,1,1956
50,Bahrain,1,0,0,1,2012
71,Barbados,0,0,1,1,2000
37,Belarus,1,6,8,15,1996
5,Belgium,6,7,4,17,1900
37,Bermuda,0,0,1,1,1976
20,Bohemia,0,1,1,2,1900
70,Botswana,0,1,0,1,2012
15,Brazil,1,1,1,3,1920
39,BritishWestIndies,0,0,2,2,1960
40,Bulgaria,0,0,1,1,1952
86,BurkinaFaso,0,0,1,1,2020
49,Burundi,1,0,0,1,1996
84,CaboVerde,0,0,1,1,2024
39,Cameroon,0,1,0,1,1968
13,Canada,1,0,1,2,1900
28,Ceylon,0,1,0,1,1948
30,Chile,0,1,0,1,1928
4,China,15,8,9,32,1984
43,ChineseTaipei,0,0,1,1,1984
31,Colombia,0,1,2,3,1972
36,CostaRica,0,1,0,1,1988
44,Croatia,0,1,2,3,1992
12,Cuba,1,1,0,2,1900
70,Cyprus,0,1,0,1,2012
17,CzechRepublic,4,3,4,11,1996
21,Czechoslovakia,0,0,2,2,1920
9,Denmark,1,2,3,6,1896
46,Djibouti,0,0,1,1,1988
62,Dominica,1,0,0,1,2024
43,DominicanRepublic,0,0,1,1,1984
5,EastGermany,9,9,7,25,1968
49,Ecuador,1,0,0,1,1996
17,Egypt,2,1,1,4,1928
71,Eritrea,0,0,1,1,2004
14,Estonia,1,2,0,3,1920
21,Ethiopia,1,0,0,1,1960
41,FRYugoslavia,1,1,2,4,1996
54,Fiji,1,0,0,1,2016
13,Finland,1,1,3,5,1908
32,Formosa,0,1,0,1,1960
4,France,5,4,2,11,1896
70,Gabon,0,1,0,1,2012
68,Georgia,0,0,2,2,1996
3,Germany,6,5,2,13,1896
32,Ghana,0,1,0,1,1960
5,GreatBritain,2,3,2,7,1896
2,Greece,10,18,19,47,1896
50,Grenada,1,0,0,1,2012
70,Guatemala,0,1,0,1,2012
35,Guyana,0,0,1,1,1980
23,Haiti,0,0,1,1,1924
49,HongKong,1,0,0,1,1996
6,Hungary,2,1,3,6,1896
31,Iceland,0,1,0,1,1956
51,IndependentOlympicAthletes,1,0,1,2,2016
44,IndependentOlympicParticipants,0,1,2,3,1992
19,India,0,2,0,2,1900
36,Indonesia,0,1,0,1,1988
