Index,Year,SWA,DIV,OWS,SWM,WPO,ARC,ATH,BDM,BSB,SBL,BK3,BKB,PEL,BOX,BKG,CSP,CSL,CKT,CQT,BMF,BMX,MTB,CRD,CTR,EDR,EVE,EJP,EVL,EDV,FEN,HOC,AFB,FBL,GLF,GAR,GRY,GTR,HBLI,HBLF,JDP,JUD,KTE,LAX,LAX.1,MPN,POL,RQT,RQQ,ROC,ROW,RU7,RUG,SAL,SHO,SKB,CLB,SQU,SRF,TTE,TKW,TEN,TRI,TOW,VBV,VVO,PBT,WLF,WRF,WRG,Australia1,Australia2,Australia3,Australia4,China1,China2,China3,China4,France1,France2,France3,France4,Germany1,Germany2,Germany3,Germany4,GreatBritain1,GreatBritain2,GreatBritain3,GreatBritain4,Italy1,Italy2,Italy3,Italy4,Japan1,Japan2,Japan3,Japan4,Netherlands1,Netherlands2,Netherlands3,Netherlands4,SouthKorea1,SouthKorea2,SouthKorea3,SouthKorea4,UnitedStates1,UnitedStates2,UnitedStates3,UnitedStates4
1,1896,0,0,0,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,2,0,0,2,27,20,18,66,5,4,2,11,6,5,2,13,2,3,2,7,8,7,8,23,8,7,8,23,4,4,5,13,6,5,6,17,11,7,2,20
2,1900,0,0,0,7,1,7,23,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,3,0,0,3,0,2,7,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,1,13,8,0,0,0,0,0,0,4,0,1,0,0,0,2,0,0,2,0,3,5,27,20,18,66,27,39,37,103,4,3,2,9,15,7,9,31,3,2,0,5,8,7,8,23,0,2,3,5,6,5,6,17,19,14,15,48
3,1904,0,2,0,9,1,6,25,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,5,0,0,1,2,11,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,7,0,0,3,1,4,27,20,18,66,0,1,0,1,4,5,6,15,1,1,0,2,8,7,8,23,8,7,8,23,4,4,5,13,6,5,6,17,76,78,77,231
4,1908,0,1,0,4,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,8,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,16,0,0,0,0,0,0,4,0,1,0,0,3,0,0,4,6,6,8,21,27,20,18,66,5,5,9,19,3,5,5,13,56,51,39,146,2,2,0,4,8,7,8,23,0,0,2,2,6,5,6,17,23,12,12,47
5,1912,0,2,0,6,1,3,26,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,1,0,1,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0,1,4,15,0,0,0,0,0,0,6,0,1,0,0,0,0,5,4,6,6,8,21,27,20,18,66,7,4,3,14,5,13,7,25,10,15,16,41,3,1,2,6,8,7,8,23,0,0,3,3,6,5,6,17,26,19,19,64
6,1916,0,4,0,9,1,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,2,0,0,5,0,0,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,4,18,0,0,0,0,0,0,8,0,1,0,0,0,0,0,5,6,6,8,21,27,20,18,66,8,9,9,27,12,12,14,39,9,11,11,32,8,7,8,23,8,7,8,23,4,4,5,13,6,5,6,17,38,30,26,95
7,1920,0,5,0,10,1,10,29,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,4,1,2,2,2,0,6,1,0,1,0,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5,0,1,14,21,0,0,0,0,0,0,5,0,1,0,0,0,5,5,5,0,2,1,3,27,20,18,66,9,19,13,41,12,12,14,39,14,15,13,42,13,5,5,23,0,2,0,2,4,2,5,11,6,5,6,17,41,27,27,95
8,1924,0,5,0,11,1,0,27,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,4,1,2,2,0,0,7,0,0,1,0,9,0,0,0,0,0,0,0,0,0,1,1,0,0,0,7,0,1,3,10,0,0,0,0,0,0,5,0,0,0,0,0,5,7,6,3,1,2,6,27,20,18,66,13,15,10,38,12,12,14,39,9,13,12,34,8,3,5,16,0,0,1,1,4,1,5,10,6,5,6,17,45,27,27,99
9,1928,0,4,0,11,1,0,27,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,2,4,2,2,2,0,0,7,1,0,1,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,6,1,2,1,4,27,20,18,66,6,10,5,21,10,7,14,31,3,10,7,20,7,5,7,19,2,2,1,5,6,9,4,19,6,5,6,17,22,18,16,56
10,1932,0,4,0,11,1,0,29,0,0,0,0,1,0,8,0,9,0,0,0,0,0,0,2,4,2,2,2,0,0,7,1,0,0,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,5,7,7,3,1,1,5,27,20,18,66,11,5,4,20,5,12,7,24,5,7,5,17,12,12,12,36,7,7,4,18,2,5,1,8,6,5,6,17,44,36,30,110
