Index,Year,SWA,DIV,OWS,SWM,WPO,ARC,ATH,BDM,BSB,SBL,BK3,BKB,PEL,BOX,BKG,CSP,CSL,CKT,CQT,BMF,BMX,MTB,CRD,CTR,EDR,EVE,EJP,EVL,EDV,FEN,HOC,AFB,FBL,GLF,GAR,GRY,GTR,HBLI,HBLF,JDP,JUD,KTE,LAX,LAX.1,MPN,POL,RQT,RQQ,ROC,ROW,RU7,RUG,SAL,SHO,SKB,CLB,SQU,SRF,TTE,TKW,TEN,TRI,TOW,VBV,VVO,PBT,WLF,WRF,WRG,Australia,China,France,Germany,GreatBritain,Italy,Japan,Netherlands,SouthKorea,UnitedStates
21,1984,2,4,0,29,1,2,41,4,0,0,0,2,0,12,0,12,0,0,0,0,0,0,3,5,2,2,2,0,0,8,2,0,1,0,14,1,0,2,0,0,8,0,0,0,2,0,0,0,0,14,0,0,7,11,0,0,0,0,0,0,4,0,0,0,2,0,10,10,10,56.0,108.0,62.0,110.0,79.0,100.0,88.0,37.0,55.0,628.0
22,1988,2,4,0,31,1,4,42,5,1,0,0,2,0,12,0,12,0,0,0,0,0,0,3,6,2,2,2,0,0,8,2,0,1,0,14,1,0,2,0,0,7,0,0,0,2,0,0,0,0,14,0,0,8,13,0,0,0,0,4,0,4,0,0,0,2,0,10,10,10,38.0,70.0,48.0,110.0,64.0,46.0,36.0,21.0,101.0,300.0
23,1992,2,4,0,31,1,4,43,5,0,0,0,2,0,12,0,12,4,0,0,0,0,0,3,7,2,2,2,0,0,8,2,0,1,0,14,1,0,2,0,0,14,0,0,0,2,0,0,0,0,14,0,0,10,13,0,0,0,0,4,8,4,0,0,0,2,0,10,10,10,73.0,162.0,71.0,256.0,46.0,53.0,50.0,35.0,87.0,324.0
24,1996,1,4,0,32,1,4,44,5,0,1,0,2,0,12,0,12,4,0,0,0,0,2,4,8,2,2,2,0,0,10,2,0,2,0,14,2,0,2,0,0,14,0,0,0,1,0,0,0,0,14,0,0,10,15,0,0,0,0,4,8,4,0,0,2,2,0,10,10,10,95.0,158.0,111.0,181.0,35.0,107.0,38.0,45.0,85.0,341.0
25,2000,2,8,0,32,2,4,46,5,0,1,0,2,0,12,0,12,4,0,0,0,0,2,4,12,2,2,2,0,0,10,2,0,2,0,14,2,2,2,0,0,14,0,0,0,2,0,0,0,0,14,0,0,11,17,0,0,0,0,4,8,4,2,0,2,2,0,15,8,8,172.0,202.0,118.0,142.0,92.0,102.0,54.0,91.0,80.0,289.0
26,2004,2,8,0,32,2,4,46,5,0,1,0,2,0,11,0,12,4,0,0,0,0,2,4,12,2,2,2,0,0,10,2,0,2,0,14,2,2,2,0,0,14,0,0,0,2,0,0,0,0,14,0,0,11,17,0,0,0,0,4,8,5,2,0,2,2,0,15,11,7,150.0,225.0,95.0,133.0,84.0,94.0,119.0,56.0,90.0,323.0
27,2008,2,8,2,32,2,4,47,5,0,1,0,2,0,11,0,12,4,0,0,0,2,2,4,10,2,2,2,0,0,10,2,0,2,0,14,2,2,2,0,0,14,0,0,0,2,0,0,0,0,14,0,0,11,15,0,0,0,0,4,8,5,2,0,2,2,0,15,11,7,132.0,336.0,103.0,127.0,153.0,77.0,77.0,54.0,106.0,334.0
28,2012,2,8,2,32,2,4,47,5,0,0,0,2,0,13,0,12,4,0,0,0,2,2,4,10,2,2,2,0,0,10,2,0,2,0,14,2,2,2,0,0,14,0,0,0,2,0,0,0,0,14,0,0,10,15,0,0,0,0,4,8,5,2,0,2,2,0,15,11,7,97.0,310.0,101.0,128.0,217.0,78.0,94.0,56.0,101.0,348.0
29,2016,2,8,2,32,2,4,47,5,0,0,0,2,0,13,0,12,4,0,0,0,2,2,4,10,2,2,2,0,0,10,2,0,2,2,14,2,2,2,0,0,14,0,0,0,2,0,0,0,0,14,2,0,10,15,0,0,0,0,4,8,5,2,0,2,2,0,15,12,6,83.0,210.0,118.0,130.0,221.0,84.0,105.0,65.0,63.0,379.0
30,2020,2,8,2,35,2,5,48,0,0,1,2,0,0,13,0,10,4,0,0,2,2,2,4,12,2,2,2,0,0,12,2,0,2,2,14,2,2,2,0,0,15,8,0,0,2,0,0,0,0,14,2,0,10,15,4,2,0,2,5,0,0,3,0,2,2,0,14,12,6,128.0,305.0,97.0,99.0,192.0,100.0,194.0,100.0,52.0,351.0
31,2024,2,8,2,35,2,5,48,0,0,0,2,0,0,13,2,0,6,0,0,2,2,2,4,12,2,2,2,0,0,12,2,0,2,2,14,2,2,2,0,0,15,0,0,0,2,0,0,0,0,14,2,0,10,15,4,4,0,2,5,0,0,3,0,2,0,0,10,12,6,163.0,305.0,180.0,107.0,165.0,114.0,149.0,108.0,102.0,374.0
