Australia Column,SWA-WRG Column,Spearman Correlation
Australia,SWA,0.10000000000000002
Australia,DIV,0.776898596067356
Australia,OWS,0.28867513459481287
Australia,SWM,0.7376066612270645
Australia,WPO,0.776898596067356
Australia,ARC,0.4990226137396671
Australia,ATH,0.6406142177947517
Australia,BDM,-0.1392621247645583
Australia,BSB,-0.5
Australia,SBL,0.5773502691896257
Australia,BK3,0.3726779962499649
Australia,BKB,-0.3726779962499649
Australia,PEL,
Australia,BOX,-0.03923265908909998
Australia,BKG,0.4000000000000001
Australia,CSP,-0.39103592022868044
Australia,CSL,0.731126155013931
Australia,CKT,
Australia,CQT,
Australia,BMF,0.3726779962499649
Australia,BMX,0.28867513459481287
Australia,MTB,0.7745966692414835
Australia,CRD,0.7745966692414835
Australia,CTR,0.9065929936493868
Australia,EDR,
Australia,EVE,
Australia,EJP,
Australia,EVL,
Australia,EDV,
Australia,FEN,0.743727983291817
Australia,HOC,
Australia,AFB,
Australia,FBL,0.7745966692414835
Australia,GLF,0.19364916731037088
Australia,GAR,
Australia,GRY,0.7745966692414835
Australia,GTR,0.776898596067356
Australia,HBLI,
Australia,HBLF,
Australia,JDP,
Australia,JUD,0.670654091321568
Australia,KTE,0.10000000000000002
Australia,LAX,
Australia,LAX.1,
Australia,MPN,0.10000000000000002
Australia,POL,
Australia,RQT,
Australia,RQQ,
Australia,ROC,
Australia,ROW,
Australia,RU7,0.19364916731037088
Australia,RUG,
Australia,SAL,0.8068173859830118
Australia,SHO,0.8572185522368587
Australia,SKB,0.3726779962499649
Australia,CLB,0.39103592022868044
Australia,SQU,
Australia,SRF,0.3726779962499649
Australia,TTE,0.4990226137396671
Australia,TKW,0.23904572186687875
Australia,TEN,-0.03923265908909998
Australia,TRI,0.7454205226928996
Australia,TOW,
Australia,VBV,0.7745966692414835
Australia,VVO,-0.4000000000000001
Australia,PBT,
Australia,WLF,0.5125692857821982
Australia,WRF,0.2324390302644524
Australia,WRG,-0.5455201730696332
China,SWA,0.3006841514016155
China,DIV,0.8385680336335052
China,OWS,0.8101336868462921
China,SWM,0.6993272211687708
China,WPO,0.8385680336335052
China,ARC,0.5001606371417597
