Index,year,SWA,DIV,OWS,SWM,WPO,ARC,ATH,BDM,BSB,SBL,BK3,BKB,PEL,BOX,BKG,CSP,CSL,CKT,CQT,BMF,BMX,MTB,CRD,CTR,EDR,EVE,EJP,EVL,EDV,FEN,HOC,AFB,FBL,GLF,GAR,GRY,GTR,HBLI,HBLF,JDP,JUD,KTE,LAX,LAX.1,MPN,POL,RQT,RQQ,ROC,ROW,RU7,RUG,SAL,SHO,SKB,CLB,SQU,SRF,TTE,TKW,TEN,TRI,TOW,VBV,VVO,PBT,WLF,WRF,WRG,Australia1,Australia2,Australia3,Australia4,China1,China2,China3,China4,France1,France2,France3,France4,Germany1,Germany2,Germany3,Germany4,GreatBritain1,GreatBritain2,GreatBritain3,GreatBritain4,Italy1,Italy2,Italy3,Italy4,Japan1,Japan2,Japan3,Japan4,Netherlands1,Netherlands2,Netherlands3,Netherlands4,SouthKorea1,SouthKorea2,SouthKorea3,SouthKorea4,UnitedStates1,UnitedStates2,UnitedStates3,UnitedStates4
1,1896,0,0,0,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,2.0,0.0,0.0,2.0,,,,,5.0,4.0,2.0,11.0,6.0,5.0,2.0,13.0,2.0,3.0,2.0,7.0,,,,,,,,,,,,,,,,,11.0,7.0,2.0,20.0
2,1900,0,0,0,7,1,7,23,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,3,0,0,3,0,2,7,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,1,13,8,0,0,0,0,0,0,4,0,1,0,0,0,2,0,0,2.0,0.0,3.0,5.0,,,,,27.0,39.0,37.0,103.0,4.0,3.0,2.0,9.0,15.0,7.0,9.0,31.0,3.0,2.0,0.0,5.0,,,,,0.0,2.0,3.0,5.0,,,,,19.0,14.0,15.0,48.0
3,1904,0,2,0,9,1,6,25,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,5,0,0,1,2,11,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,7,0,0.0,3.0,1.0,4.0,,,,,0.0,1.0,0.0,1.0,4.0,5.0,6.0,15.0,1.0,1.0,0.0,2.0,2.5,2.0,0.0,4.5,,,,,0.0,1.0,2.5,3.5,,,,,76.0,78.0,77.0,231.0
4,1908,0,1,0,4,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,8,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,16,0,0,0,0,0,0,4,0,1,0,0,3,0,0,4,0.0,2.75,1.0,3.75,,,,,5.0,5.0,9.0,19.0,3.0,5.0,5.0,13.0,56.0,51.0,39.0,146.0,2.0,2.0,0.0,4.0,,,,,0.0,0.0,2.0,2.0,,,,,23.0,12.0,12.0,47.0
5,1912,0,2,0,6,1,3,26,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,1,0,1,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0,1,4,15,0,0,0,0,0,0,6,0,1,0,0,0,0,5,4,0.0,2.5,1.0,3.5,,,,,7.0,4.0,3.0,14.0,5.0,13.0,7.0,25.0,10.0,15.0,16.0,41.0,3.0,1.0,2.0,6.0,,,,,0.0,0.0,3.0,3.0,,,,,26.0,19.0,19.0,64.0
6,1916,0,4,0,9,1,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,2,0,0,5,0,0,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,4,18,0,0,0,0,0,0,8,0,1,0,0,0,0,0,5,0.0,2.25,1.0,3.25,,,,,8.0,11.5,8.0,27.5,6.25,11.5,8.75,26.5,12.0,15.0,14.5,41.5,8.0,3.0,3.5,14.5,,,,,2.0,1.0,4.0,7.0,,,,,33.5,23.0,23.0,79.5
7,1920,0,5,0,10,1,10,29,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,4,1,2,2,2,0,6,1,0,1,0,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5,0,1,14,21,0,0,0,0,0,0,5,0,1,0,0,0,5,5,5,0.0,2.0,1.0,3.0,,,,,9.0,19.0,13.0,41.0,7.5,10.0,10.5,28.0,14.0,15.0,13.0,42.0,13.0,5.0,5.0,23.0,0.0,2.0,0.0,2.0,4.0,2.0,5.0,11.0,,,,,41.0,27.0,27.0,95.0
8,1924,0,5,0,11,1,0,27,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,4,1,2,2,0,0,7,0,0,1,0,9,0,0,0,0,0,0,0,0,0,1,1,0,0,0,7,0,1,3,10,0,0,0,0,0,0,5,0,0,0,0,0,5,7,6,3.0,1.0,2.0,6.0,,,,,13.0,15.0,10.0,38.0,8.75,8.5,12.25,29.5,9.0,13.0,12.0,34.0,8.0,3.0,5.0,16.0,0.0,0.0,1.0,1.0,4.0,1.0,5.0,10.0,,,,,45.0,27.0,27.0,99.0
9,1928,0,4,0,11,1,0,27,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,2,4,2,2,2,0,0,7,1,0,1,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,6,1.0,2.0,1.0,4.0,,,,,6.0,10.0,5.0,21.0,10.0,7.0,14.0,31.0,3.0,10.0,7.0,20.0,7.0,5.0,7.0,19.0,2.0,2.0,1.0,5.0,6.0,9.0,4.0,19.0,,,,,22.0,18.0,16.0,56.0
10,1932,0,4,0,11,1,0,29,0,0,0,0,1,0,8,0,9,0,0,0,0,0,0,2,4,2,2,2,0,0,7,1,0,0,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,5,7,7,3.0,1.0,1.0,5.0,,,,,11.0,5.0,4.0,20.0,5.0,12.0,7.0,24.0,5.0,7.0,5.0,17.0,12.0,12.0,12.0,36.0,7.0,7.0,4.0,18.0,2.0,5.0,1.0,8.0,,,,,44.0,36.0,30.0,110.0
